id,label,type,module_id,connected_component_id,is_in_largest_component,betweenness_centrality,closeness_centrality,degree_centrality,redundancy_coefficient,paths,pathway_reach,functional_impact
hsa-miR-200c-3p,hsa-miR-200c-3p,MicroRNA,1.0,0,1,0.251333307958526,0.2598425196850393,0.0804020100502512,0.0040322580645161,"[('DZIP1', 'KEGG:05200'), ('DZIP1', 'KEGG:01521'), ('DZIP1', 'KEGG:04151'), ('DZIP1', 'KEGG:04510'), ('DZIP1', 'KEGG:05215'), ('DZIP1', 'KEGG:04150'), ('DZIP1', 'KEGG:05222'), ('DZIP1', 'KEGG:05214'), ('DZIP1', 'KEGG:04218'), ('DZIP1', 'KEGG:05218'), ('DZIP1', 'KEGG:05224'), ('DZIP1', 'KEGG:04068'), ('DZIP1', 'KEGG:04140'), ('DZIP1', 'KEGG:05225'), ('JCAD', 'KEGG:05200'), ('JCAD', 'KEGG:04151'), ('JCAD', 'KEGG:05222'), ('JCAD', 'KEGG:05214'), ('JCAD', 'KEGG:04218'), ('JCAD', 'KEGG:05218'), ('JCAD', 'KEGG:05224'), ('JCAD', 'KEGG:05225'), ('ZSWIM4', 'KEGG:04144'), ('LRRC8A', 'KEGG:05200'), ('LRRC8A', 'KEGG:01522'), ('LRRC8A', 'KEGG:05224'), ('ERG', 'KEGG:05200'), ('ERG', 'KEGG:01521'), ('ERG', 'KEGG:04010'), ('ERG', 'KEGG:04151'), ('ERG', 'KEGG:04510'), ('ERG', 'KEGG:05205'), ('ERG', 'KEGG:04150'), ('ERG', 'KEGG:04725'), ('ERG', 'KEGG:05214'), ('ERG', 'KEGG:04014'), ('ERG', 'KEGG:04310'), ('ERG', 'KEGG:05161'), ('ERG', 'KEGG:04713'), ('ERG', 'KEGG:04926'), ('ERG', 'KEGG:04012'), ('ERG', 'KEGG:04720'), ('ERG', 'KEGG:05225'), ('KLF12', 'KEGG:04218')]",0.7878787878787878,0.34498810565925014
hsa-let-7g-5p,hsa-let-7g-5p,MicroRNA,1.0,0,1,0.0470211810493226,0.1316708229426434,0.0276381909547738,0.0,[],0.0,0.0
hsa-miR-30d-5p,hsa-miR-30d-5p,MicroRNA,1.0,0,1,0.0257933537908839,0.1802047781569966,0.0175879396984924,0.0,[],0.0,0.0
hsa-miR-151a-3p,hsa-miR-151a-3p,MicroRNA,1.0,0,1,0.0129294214504902,0.1936903888481291,0.007537688442211,0.0,"[('FRK', 'KEGG:04144'), ('KLF12', 'KEGG:04218')]",0.06060606060606061,0.41405544300945396
hsa-miR-27b-3p,hsa-miR-27b-3p,MicroRNA,1.0,0,1,0.1960479866695596,0.2485875706214689,0.0804020100502512,0.0181451612903225,"[('UHRF1BP1', 'KEGG:04010'), ('UHRF1BP1', 'KEGG:04151'), ('UHRF1BP1', 'KEGG:05205'), ('UHRF1BP1', 'KEGG:04012'), ('HIPK2', 'KEGG:05200'), ('HIPK2', 'KEGG:04310'), ('ARIH1', 'KEGG:05200'), ('ARIH1', 'KEGG:05205'), ('ARIH1', 'KEGG:01522'), ('ARIH1', 'KEGG:04926'), ('NF1', 'KEGG:04150'), ('NF1', 'KEGG:04152'), ('BBX', 'KEGG:05200'), ('BBX', 'KEGG:04010'), ('BBX', 'KEGG:04151'), ('BBX', 'KEGG:04014'), ('BBX', 'KEGG:05218'), ('BBX', 'KEGG:05224'), ('CREB1', 'KEGG:04144'), ('AFF3', 'KEGG:05202')]",0.45454545454545453,0.31439661783260364
hsa-miR-193b-3p,hsa-miR-193b-3p,MicroRNA,1.0,0,1,0.0709827034414299,0.2406563354603464,0.0201005025125628,0.0357142857142857,"[('ATXN1', 'KEGG:04520'), ('RUNX1T1', 'KEGG:05200'), ('RUNX1T1', 'KEGG:01521'), ('RUNX1T1', 'KEGG:04010'), ('RUNX1T1', 'KEGG:04151'), ('RUNX1T1', 'KEGG:04510'), ('RUNX1T1', 'KEGG:05215'), ('RUNX1T1', 'KEGG:05205'), ('RUNX1T1', 'KEGG:04150'), ('RUNX1T1', 'KEGG:05214'), ('RUNX1T1', 'KEGG:04014'), ('RUNX1T1', 'KEGG:05161'), ('RUNX1T1', 'KEGG:01522'), ('RUNX1T1', 'KEGG:04722'), ('RUNX1T1', 'KEGG:05224'), ('RUNX1T1', 'KEGG:04926'), ('RUNX1T1', 'KEGG:04012'), ('RUNX1T1', 'KEGG:04068'), ('RUNX1T1', 'KEGG:04630'), ('RUNX1T1', 'KEGG:05225'), ('ENTPD1', 'KEGG:01521'), ('KCNJ2', 'KEGG:04520')]",0.6060606060606061,0.3269463061805153
hsa-miR-30b-5p,hsa-miR-30b-5p,MicroRNA,1.0,0,1,0.1487461382108572,0.2321899736147757,0.0351758793969849,0.0109890109890109,"[('TSPAN2', 'KEGG:05200'), ('TSPAN2', 'KEGG:04151'), ('TSPAN2', 'KEGG:04510'), ('TSPAN2', 'KEGG:05222'), ('FTO', 'KEGG:01522'), ('RAP2B', 'KEGG:04218'), ('KLF12', 'KEGG:04218'), ('TMTC3', 'KEGG:05202')]",0.21212121212121213,0.3247721943047864
hsa-miR-18a-5p,hsa-miR-18a-5p,MicroRNA,1.0,0,1,0.1746409159659617,0.2540904716073147,0.0226130653266331,0.0833333333333333,"[('ZBTB4', 'KEGG:05200'), ('ZBTB4', 'KEGG:05205'), ('ZBTB4', 'KEGG:01522'), ('ZBTB4', 'KEGG:05224'), ('CREBL2', 'KEGG:04010'), ('ATXN1', 'KEGG:04520'), ('NAV1', 'KEGG:05200'), ('NAV1', 'KEGG:01521'), ('NAV1', 'KEGG:04010'), ('NAV1', 'KEGG:04151'), ('NAV1', 'KEGG:04510'), ('NAV1', 'KEGG:05215'), ('NAV1', 'KEGG:05205'), ('NAV1', 'KEGG:04550'), ('NAV1', 'KEGG:04150'), ('NAV1', 'KEGG:05214'), ('NAV1', 'KEGG:04014'), ('NAV1', 'KEGG:05218'), ('NAV1', 'KEGG:01522'), ('NAV1', 'KEGG:04152'), ('NAV1', 'KEGG:04144'), ('NAV1', 'KEGG:05224'), ('NAV1', 'KEGG:04068'), ('NAV1', 'KEGG:05202'), ('NAV1', 'KEGG:04140'), ('NAV1', 'KEGG:05225'), ('NAV1', 'KEGG:04520')]",0.6363636363636364,0.34100751496248527
hsa-miR-381-3p,hsa-miR-381-3p,MicroRNA,1.0,3,0,,,,,"[('ESR1', 'KEGG:01521'), ('ESR1', 'KEGG:04012')]",0.06060606060606061,0.42000499766334765
hsa-miR-330-3p,hsa-miR-330-3p,MicroRNA,1.0,0,1,0.0502611037054471,0.2268041237113402,0.0276381909547738,0.0,"[('JCAD', 'KEGG:05200'), ('JCAD', 'KEGG:04151'), ('JCAD', 'KEGG:05222'), ('JCAD', 'KEGG:05214'), ('JCAD', 'KEGG:04218'), ('JCAD', 'KEGG:05218'), ('JCAD', 'KEGG:05224'), ('JCAD', 'KEGG:05225'), ('DKK3', 'KEGG:04550'), ('CYTH3', 'KEGG:04510'), ('ADAMTS2', 'KEGG:04151'), ('ADAMTS2', 'KEGG:04510')]",0.30303030303030304,0.33934012051728235
hsa-miR-33a-5p,hsa-miR-33a-5p,MicroRNA,1.0,0,1,0.1670835356545637,0.2458100558659217,0.0703517587939698,0.0026455026455026,"[('CALN1', 'KEGG:05200'), ('CALN1', 'KEGG:04010'), ('CALN1', 'KEGG:04218'), ('CALN1', 'KEGG:04380'), ('CALN1', 'KEGG:05161'), ('CALN1', 'KEGG:04144'), ('CALN1', 'KEGG:04926'), ('CALN1', 'KEGG:04068'), ('CALN1', 'KEGG:05202'), ('CALN1', 'KEGG:05225'), ('CALN1', 'KEGG:04520')]",0.3333333333333333,0.352930987956155
hsa-miR-29c-3p,hsa-miR-29c-3p,MicroRNA,1.0,0,1,0.0944306734776209,0.2346666666666666,0.0452261306532663,0.0130718954248366,"[('PPIC', 'KEGG:01521'), ('PPIC', 'KEGG:04151'), ('PPIC', 'KEGG:04150'), ('DIO2', 'KEGG:04151'), ('DIO2', 'KEGG:04630'), ('DAAM1', 'KEGG:04550'), ('DAAM1', 'KEGG:04630'), ('COL6A3', 'KEGG:04014'), ('COL6A3', 'KEGG:04713'), ('COL6A3', 'KEGG:04720'), ('KCTD20', 'KEGG:05200'), ('KCTD20', 'KEGG:05205'), ('KCTD20', 'KEGG:04725'), ('KCTD20', 'KEGG:05214'), ('KCTD20', 'KEGG:04310'), ('KCTD20', 'KEGG:04722'), ('KCTD20', 'KEGG:04713'), ('KCTD20', 'KEGG:04012'), ('KCTD20', 'KEGG:04720'), ('KIRREL1', 'KEGG:01521'), ('KIRREL1', 'KEGG:04010'), ('KIRREL1', 'KEGG:04014')]",0.48484848484848486,0.3242590350776344
hsa-miR-29b-3p,hsa-miR-29b-3p,MicroRNA,1.0,0,1,0.0370303692007113,0.1958456973293768,0.0251256281407035,0.0222222222222222,"[('TMTC3', 'KEGG:05202'), ('ABHD5', 'KEGG:04140'), ('SLC16A14', 'KEGG:05205'), ('MEST', 'KEGG:05200'), ('MEST', 'KEGG:04510'), ('MEST', 'KEGG:05222')]",0.18181818181818182,0.3335511848975723
hsa-miR-34a-5p,hsa-miR-34a-5p,MicroRNA,1.0,0,1,0.1138928518882778,0.22,0.050251256281407,0.0052631578947368,"[('WAC', 'KEGG:05200'), ('WAC', 'KEGG:04014'), ('WAC', 'KEGG:04218'), ('TMED8', 'KEGG:05200'), ('TMED8', 'KEGG:04010'), ('TMED8', 'KEGG:05222'), ('TMED8', 'KEGG:04380'), ('TMED8', 'KEGG:05161'), ('TMED8', 'KEGG:04722'), ('TMED8', 'KEGG:04144'), ('TMED8', 'KEGG:04140'), ('YTHDC1', 'KEGG:04010'), ('YTHDC1', 'KEGG:04150'), ('YTHDC1', 'KEGG:04722'), ('YTHDC1', 'KEGG:04720'), ('LIN54', 'KEGG:05200'), ('LIN54', 'KEGG:04010'), ('LIN54', 'KEGG:04014')]",0.36363636363636365,0.3345820147613659
hsa-miR-106b-5p,hsa-miR-106b-5p,MicroRNA,1.0,0,1,0.2346686411994966,0.2773109243697479,0.0603015075376884,0.0398550724637681,"[('DCUN1D3', 'KEGG:04310'), ('MMP2', 'KEGG:04722'), ('KIRREL1', 'KEGG:01521'), ('KIRREL1', 'KEGG:04010'), ('KIRREL1', 'KEGG:04014'), ('FNDC3B', 'KEGG:04310'), ('ATXN1', 'KEGG:04520')]",0.18181818181818182,0.300729679961323
hsa-miR-141-3p,hsa-miR-141-3p,MicroRNA,1.0,0,1,0.0478613798791041,0.2194513715710723,0.0276381909547738,0.0,"[('MOB3B', 'KEGG:05200'), ('MOB3B', 'KEGG:04151'), ('MOB3B', 'KEGG:04380'), ('MOB3B', 'KEGG:04630'), ('KCNJ2', 'KEGG:04520')]",0.15151515151515152,0.3352171798438518
hsa-miR-25-3p,hsa-miR-25-3p,MicroRNA,1.0,0,1,0.0916485647289863,0.2291666666666666,0.0376884422110552,0.0285714285714285,"[('FNDC3B', 'KEGG:04310'), ('PMEPA1', 'KEGG:05200'), ('PMEPA1', 'KEGG:01521'), ('PMEPA1', 'KEGG:04151'), ('PMEPA1', 'KEGG:04510'), ('PMEPA1', 'KEGG:05215'), ('PMEPA1', 'KEGG:05222'), ('PMEPA1', 'KEGG:04725'), ('PMEPA1', 'KEGG:05161'), ('PMEPA1', 'KEGG:01522'), ('PMEPA1', 'KEGG:04722'), ('PMEPA1', 'KEGG:04630'), ('PMEPA1', 'KEGG:04140')]",0.3939393939393939,0.3049189973352561
hsa-miR-29a-3p,hsa-miR-29a-3p,MicroRNA,1.0,0,1,0.0526090068425677,0.211031175059952,0.0326633165829145,0.0,"[('DAAM1', 'KEGG:04550'), ('DAAM1', 'KEGG:04630'), ('DCP2', 'KEGG:05200')]",0.09090909090909091,0.3949679718500814
hsa-miR-30a-5p,hsa-miR-30a-5p,MicroRNA,1.0,2,0,,,,,"[('GPR157', 'KEGG:04010')]",0.030303030303030304,0.3654197088147469
hsa-miR-96-5p,hsa-miR-96-5p,MicroRNA,1.0,0,1,0.0492935690779162,0.1942604856512141,0.0376884422110552,0.019047619047619,"[('ANTXR2', 'KEGG:04550'), ('BACH2', 'KEGG:05200'), ('BACH2', 'KEGG:04151'), ('BACH2', 'KEGG:04510'), ('BACH2', 'KEGG:05205'), ('BACH2', 'KEGG:05222'), ('LMOD1', 'KEGG:05200'), ('LMOD1', 'KEGG:04010'), ('LMOD1', 'KEGG:04151'), ('LMOD1', 'KEGG:05205'), ('LMOD1', 'KEGG:04014'), ('LMOD1', 'KEGG:05225')]",0.2727272727272727,0.31784078745665056
hsa-miR-155-5p,hsa-miR-155-5p,MicroRNA,1.0,0,1,0.0195928488708242,0.1848739495798319,0.0150753768844221,0.0,"[('AHCYL2', 'KEGG:05215'), ('AHCYL2', 'KEGG:05202'), ('VEZF1', 'KEGG:04713'), ('BCORL1', 'KEGG:04310')]",0.12121212121212122,0.35571336845707546
hsa-miR-106a-5p,hsa-miR-106a-5p,MicroRNA,1.0,0,1,0.0386700980881337,0.1974569932685116,0.0276381909547738,0.0181818181818181,"[('RND3', 'KEGG:04068'), ('JAK1', 'KEGG:05200'), ('JAK1', 'KEGG:04380'), ('JAK1', 'KEGG:05218'), ('JAK1', 'KEGG:05202'), ('TMEM167A', 'KEGG:04151'), ('TMEM167A', 'KEGG:05215'), ('TMEM167A', 'KEGG:04725'), ('TMEM167A', 'KEGG:04380'), ('TMEM167A', 'KEGG:05161'), ('TMEM167A', 'KEGG:04713'), ('TMEM167A', 'KEGG:04152'), ('TMEM167A', 'KEGG:04926')]",0.36363636363636365,0.2967319060860559
hsa-miR-144-3p,hsa-miR-144-3p,MicroRNA,1.0,15,0,,,,,[],0.0,0.0
hsa-miR-532-5p,hsa-miR-532-5p,MicroRNA,1.0,4,0,,,,,[],0.0,0.0
hsa-miR-221-3p,hsa-miR-221-3p,MicroRNA,1.0,0,1,0.0233609073852024,0.2012195121951219,0.0125628140703517,0.0,"[('MYEF2', 'KEGG:05200'), ('MYEF2', 'KEGG:04151'), ('MYEF2', 'KEGG:04510'), ('MYEF2', 'KEGG:05205'), ('MYEF2', 'KEGG:05222')]",0.15151515151515152,0.3259377197404827
hsa-miR-7-5p,hsa-miR-7-5p,MicroRNA,1.0,0,1,0.0300595015343162,0.1651031894934334,0.0201005025125628,0.0,"[('BMPR2', 'KEGG:04010'), ('BMPR2', 'KEGG:05161'), ('BMPR2', 'KEGG:04722'), ('SEMA6D', 'KEGG:04218')]",0.12121212121212122,0.3291533463690707
hsa-miR-181b-5p,hsa-miR-181b-5p,MicroRNA,1.0,0,1,0.0124243542640719,0.2018348623853211,0.0100502512562814,0.1666666666666666,"[('CBX7', 'KEGG:05200'), ('CBX7', 'KEGG:04010'), ('CBX7', 'KEGG:04151'), ('CBX7', 'KEGG:04014'), ('CBX7', 'KEGG:05224'), ('ZBTB4', 'KEGG:05200'), ('ZBTB4', 'KEGG:05205'), ('ZBTB4', 'KEGG:01522'), ('ZBTB4', 'KEGG:05224')]",0.21212121212121213,0.36131336419100757
hsa-miR-501-3p,hsa-miR-501-3p,MicroRNA,1.0,0,1,0.0050000789175769,0.1973094170403587,0.007537688442211,0.3333333333333333,"[('DOK6', 'KEGG:05200'), ('DOK6', 'KEGG:05202')]",0.06060606060606061,0.3120783238070573
hsa-miR-148a-3p,hsa-miR-148a-3p,MicroRNA,1.0,0,1,0.1132208654287016,0.2404371584699453,0.0452261306532663,0.0,"[('SPIN1', 'KEGG:04144')]",0.030303030303030304,0.3652037577238127
hsa-miR-148b-3p,hsa-miR-148b-3p,MicroRNA,1.0,0,1,0.0,0.1693393200769724,0.0025125628140703,,[],0.0,0.0
hsa-miR-146a-5p,hsa-miR-146a-5p,MicroRNA,1.0,0,1,0.0385637302597111,0.1534883720930232,0.0251256281407035,0.0,"[('CDS1', 'KEGG:04550'), ('PRELID2', 'KEGG:04310'), ('PRELID2', 'KEGG:05224'), ('PRELID2', 'KEGG:05225'), ('AFAP1L2', 'KEGG:04550')]",0.12121212121212122,0.32248607233595455
hsa-miR-205-5p,hsa-miR-205-5p,MicroRNA,1.0,1,0,,,,,"[('SATB2', 'KEGG:05200'), ('SATB2', 'KEGG:01521'), ('SATB2', 'KEGG:04010'), ('SATB2', 'KEGG:04151'), ('SATB2', 'KEGG:04510'), ('SATB2', 'KEGG:05215'), ('SATB2', 'KEGG:05214'), ('SATB2', 'KEGG:04014'), ('SATB2', 'KEGG:05218'), ('SATB2', 'KEGG:04144'), ('SATB2', 'KEGG:04630'), ('BMF', 'KEGG:05200'), ('BMF', 'KEGG:04151'), ('BMF', 'KEGG:04725'), ('BMF', 'KEGG:04014'), ('BMF', 'KEGG:04713'), ('BMF', 'KEGG:04926'), ('SRGAP1', 'KEGG:04380')]",0.45454545454545453,0.36292009523436464
hsa-miR-342-3p,hsa-miR-342-3p,MicroRNA,1.0,0,1,0.0172329915425492,0.1825726141078838,0.0125628140703517,0.0,"[('PDGFRA', 'KEGG:04310'), ('TBX18', 'KEGG:04310'), ('TBX15', 'KEGG:04520'), ('JCAD', 'KEGG:05200'), ('JCAD', 'KEGG:04151'), ('JCAD', 'KEGG:05222'), ('JCAD', 'KEGG:05214'), ('JCAD', 'KEGG:04218'), ('JCAD', 'KEGG:05218'), ('JCAD', 'KEGG:05224'), ('JCAD', 'KEGG:05225'), ('FLNC', 'KEGG:04152'), ('FLNC', 'KEGG:04140')]",0.36363636363636365,0.356648497886664
hsa-miR-362-5p,hsa-miR-362-5p,MicroRNA,1.0,0,1,0.0043222812663722,0.2241086587436332,0.0050251256281407,0.0,[],0.0,0.0
hsa-miR-24-3p,hsa-miR-24-3p,MicroRNA,1.0,0,1,0.0910399942649789,0.1896551724137931,0.0376884422110552,0.0,"[('GBA2', 'KEGG:04550'), ('CREBL2', 'KEGG:04010'), ('ACVR1B', 'KEGG:05200'), ('ACVR1B', 'KEGG:05202'), ('NEK4', 'KEGG:05200'), ('NEK4', 'KEGG:04151'), ('NEK4', 'KEGG:04510'), ('NEK4', 'KEGG:04310'), ('NEK4', 'KEGG:04218'), ('NEK4', 'KEGG:04068'), ('NEK4', 'KEGG:04630'), ('NEK4', 'KEGG:05202'), ('TMED8', 'KEGG:05200'), ('TMED8', 'KEGG:04010'), ('TMED8', 'KEGG:05222'), ('TMED8', 'KEGG:04380'), ('TMED8', 'KEGG:05161'), ('TMED8', 'KEGG:04722'), ('TMED8', 'KEGG:04144'), ('TMED8', 'KEGG:04140'), ('NEDD4L', 'KEGG:01521'), ('NEDD4L', 'KEGG:04010'), ('NEDD4L', 'KEGG:04151'), ('NEDD4L', 'KEGG:05205'), ('NEDD4L', 'KEGG:04012'), ('STRADB', 'KEGG:04140')]",0.5757575757575758,0.312514585222953
hsa-miR-15b-5p,hsa-miR-15b-5p,MicroRNA,1.0,0,1,0.113728998856375,0.2419798350137488,0.0477386934673366,0.0175438596491228,"[('FGF1', 'KEGG:04010'), ('FGF1', 'KEGG:04510'), ('FGF1', 'KEGG:05205'), ('RUNX1T1', 'KEGG:05200'), ('RUNX1T1', 'KEGG:01521'), ('RUNX1T1', 'KEGG:04010'), ('RUNX1T1', 'KEGG:04151'), ('RUNX1T1', 'KEGG:04510'), ('RUNX1T1', 'KEGG:05215'), ('RUNX1T1', 'KEGG:05205'), ('RUNX1T1', 'KEGG:04150'), ('RUNX1T1', 'KEGG:05214'), ('RUNX1T1', 'KEGG:04014'), ('RUNX1T1', 'KEGG:05161'), ('RUNX1T1', 'KEGG:01522'), ('RUNX1T1', 'KEGG:04722'), ('RUNX1T1', 'KEGG:05224'), ('RUNX1T1', 'KEGG:04926'), ('RUNX1T1', 'KEGG:04012'), ('RUNX1T1', 'KEGG:04068'), ('RUNX1T1', 'KEGG:04630'), ('RUNX1T1', 'KEGG:05225'), ('AKAP12', 'KEGG:04150'), ('DZIP1', 'KEGG:05200'), ('DZIP1', 'KEGG:01521'), ('DZIP1', 'KEGG:04151'), ('DZIP1', 'KEGG:04510'), ('DZIP1', 'KEGG:05215'), ('DZIP1', 'KEGG:04150'), ('DZIP1', 'KEGG:05222'), ('DZIP1', 'KEGG:05214'), ('DZIP1', 'KEGG:04218'), ('DZIP1', 'KEGG:05218'), ('DZIP1', 'KEGG:05224'), ('DZIP1', 'KEGG:04068'), ('DZIP1', 'KEGG:04140'), ('DZIP1', 'KEGG:05225'), ('BACH2', 'KEGG:05200'), ('BACH2', 'KEGG:04151'), ('BACH2', 'KEGG:04510'), ('BACH2', 'KEGG:05205'), ('BACH2', 'KEGG:05222')]",0.696969696969697,0.31687951117090624
hsa-miR-130b-3p,hsa-miR-130b-3p,MicroRNA,1.0,0,1,0.0870574470481133,0.2521489971346705,0.0276381909547738,0.0,"[('KIAA1217', 'KEGG:05200'), ('KIAA1217', 'KEGG:05205'), ('KIAA1217', 'KEGG:04550'), ('KIAA1217', 'KEGG:04218'), ('KIAA1217', 'KEGG:04144'), ('KIAA1217', 'KEGG:04926'), ('KIAA1217', 'KEGG:05225')]",0.21212121212121213,0.31638961451521613
hsa-miR-200b-3p,hsa-miR-200b-3p,MicroRNA,1.0,0,1,0.0123346106505726,0.2013729977116704,0.0125628140703517,0.0,"[('GRAP2', 'KEGG:04310')]",0.030303030303030304,0.2878092655150942
hsa-miR-9-5p,hsa-miR-9-5p,MicroRNA,1.0,16,0,,,,,[],0.0,0.0
hsa-miR-32-5p,hsa-miR-32-5p,MicroRNA,1.0,0,1,0.0371919599881231,0.2201834862385321,0.0201005025125628,0.0357142857142857,"[('DKK3', 'KEGG:04550')]",0.030303030303030304,0.2930049375012135
hsa-miR-760,hsa-miR-760,MicroRNA,1.0,17,0,,,,,[],0.0,0.0
hsa-miR-22-3p,hsa-miR-22-3p,MicroRNA,1.0,0,1,0.0257933537908839,0.1434003259098316,0.0175879396984924,0.0,[],0.0,0.0
hsa-miR-33b-5p,hsa-miR-33b-5p,MicroRNA,1.0,0,1,0.0086352069455879,0.1724363161332462,0.007537688442211,0.0,"[('RIC1', 'KEGG:04144')]",0.030303030303030304,0.285298335605713
hsa-miR-590-5p,hsa-miR-590-5p,MicroRNA,1.0,0,1,0.0090255629946954,0.2070588235294117,0.007537688442211,0.6666666666666666,"[('KLF12', 'KEGG:04218'), ('FTO', 'KEGG:01522')]",0.06060606060606061,0.313904009251045
hsa-miR-182-5p,hsa-miR-182-5p,MicroRNA,1.0,0,1,0.0151046858624548,0.1815680880330124,0.0150753768844221,0.0666666666666666,"[('UBASH3B', 'KEGG:04550')]",0.030303030303030304,0.3119936468489841
hsa-miR-26a-5p,hsa-miR-26a-5p,MicroRNA,1.0,0,1,0.0129294214504902,0.1767068273092369,0.007537688442211,0.0,"[('NAV1', 'KEGG:05200'), ('NAV1', 'KEGG:01521'), ('NAV1', 'KEGG:04010'), ('NAV1', 'KEGG:04151'), ('NAV1', 'KEGG:04510'), ('NAV1', 'KEGG:05215'), ('NAV1', 'KEGG:05205'), ('NAV1', 'KEGG:04550'), ('NAV1', 'KEGG:04150'), ('NAV1', 'KEGG:05214'), ('NAV1', 'KEGG:04014'), ('NAV1', 'KEGG:05218'), ('NAV1', 'KEGG:01522'), ('NAV1', 'KEGG:04152'), ('NAV1', 'KEGG:04144'), ('NAV1', 'KEGG:05224'), ('NAV1', 'KEGG:04068'), ('NAV1', 'KEGG:05202'), ('NAV1', 'KEGG:04140'), ('NAV1', 'KEGG:05225'), ('NAV1', 'KEGG:04520'), ('ELAVL2', 'KEGG:05200'), ('ELAVL2', 'KEGG:04010'), ('ELAVL2', 'KEGG:04151'), ('ELAVL2', 'KEGG:04725'), ('ELAVL2', 'KEGG:04014'), ('ELAVL2', 'KEGG:04713'), ('ELAVL2', 'KEGG:04926'), ('MTPN', 'KEGG:04725')]",0.7272727272727273,0.34171507705139076
hsa-miR-379-5p,hsa-miR-379-5p,MicroRNA,1.0,18,0,,,,,[],0.0,0.0
hsa-miR-16-5p,hsa-miR-16-5p,MicroRNA,1.0,0,1,0.0399972580584188,0.1942604856512141,0.0301507537688442,0.0151515151515151,"[('PPP6R3', 'KEGG:04010'), ('PPP6R3', 'KEGG:04014'), ('CCNJL', 'KEGG:04144')]",0.09090909090909091,0.31206790813043794
hsa-miR-140-5p,hsa-miR-140-5p,MicroRNA,1.0,19,0,,,,,[],0.0,0.0
hsa-miR-98-5p,hsa-miR-98-5p,MicroRNA,1.0,0,1,0.0673040940049397,0.1685823754789272,0.0125628140703517,0.0,[],0.0,0.0
hsa-let-7d-5p,hsa-let-7d-5p,MicroRNA,1.0,0,1,0.0420898481645029,0.2160392798690671,0.0100502512562814,0.0,"[('PDE12', 'KEGG:05161')]",0.030303030303030304,0.2868951980545038
hsa-miR-421,hsa-miR-421,MicroRNA,1.0,0,1,0.0,0.1693393200769724,0.0025125628140703,,[],0.0,0.0
hsa-miR-378a-3p,hsa-miR-378a-3p,MicroRNA,1.0,0,1,0.0172049247810792,0.1794697484704283,0.0125628140703517,0.1,"[('ABI2', 'KEGG:05200'), ('ABI2', 'KEGG:05215'), ('ABI2', 'KEGG:04218'), ('ABI2', 'KEGG:04152'), ('ABI2', 'KEGG:04068'), ('ABI2', 'KEGG:05202'), ('CAMKK2', 'KEGG:04144')]",0.21212121212121213,0.34592909791458004
hsa-miR-532-3p,hsa-miR-532-3p,MicroRNA,1.0,20,0,,,,,[],0.0,0.0
hsa-let-7i-5p,hsa-let-7i-5p,MicroRNA,1.0,0,1,0.0117652871775386,0.1795918367346938,0.007537688442211,0.0,"[('MSI2', 'KEGG:04010'), ('MSI2', 'KEGG:04725'), ('MSI2', 'KEGG:04713'), ('MSI2', 'KEGG:04720')]",0.12121212121212122,0.3370791240031621
hsa-miR-142-5p,hsa-miR-142-5p,MicroRNA,1.0,5,0,,,,,[],0.0,0.0
hsa-miR-128-3p,hsa-miR-128-3p,MicroRNA,1.0,0,1,0.0322951002930957,0.2305676855895196,0.0150753768844221,0.2,"[('HIPK2', 'KEGG:05200'), ('HIPK2', 'KEGG:04310'), ('KIRREL1', 'KEGG:01521'), ('KIRREL1', 'KEGG:04010'), ('KIRREL1', 'KEGG:04014')]",0.15151515151515152,0.30263371944826745
hsa-miR-17-5p,hsa-miR-17-5p,MicroRNA,1.0,21,0,,,,,[],0.0,0.0
hsa-let-7b-5p,hsa-let-7b-5p,MicroRNA,0.0,6,0,,,,,"[('SENP5', 'KEGG:04068')]",0.030303030303030304,0.2874146662847583
hsa-miR-185-5p,hsa-miR-185-5p,MicroRNA,1.0,22,0,,,,,"[('NFIX', 'KEGG:05200'), ('NFIX', 'KEGG:01521'), ('NFIX', 'KEGG:04010'), ('NFIX', 'KEGG:04151'), ('NFIX', 'KEGG:04510'), ('NFIX', 'KEGG:05215'), ('NFIX', 'KEGG:05205'), ('NFIX', 'KEGG:04550'), ('NFIX', 'KEGG:04150'), ('NFIX', 'KEGG:05222'), ('NFIX', 'KEGG:04725'), ('NFIX', 'KEGG:05214'), ('NFIX', 'KEGG:04014'), ('NFIX', 'KEGG:04218'), ('NFIX', 'KEGG:04380'), ('NFIX', 'KEGG:05218'), ('NFIX', 'KEGG:05161'), ('NFIX', 'KEGG:01522'), ('NFIX', 'KEGG:04722'), ('NFIX', 'KEGG:04152'), ('NFIX', 'KEGG:05224'), ('NFIX', 'KEGG:04926'), ('NFIX', 'KEGG:04012'), ('NFIX', 'KEGG:04068'), ('NFIX', 'KEGG:04630'), ('NFIX', 'KEGG:04140'), ('NFIX', 'KEGG:05225')]",0.8181818181818182,0.33849971236786136
hsa-miR-1271-5p,hsa-miR-1271-5p,MicroRNA,1.0,0,1,0.0221165133166427,0.1846153846153846,0.0050251256281407,0.0,[],0.0,0.0
